Date/Time,Word Count,de,en,es,fr,gd
2023.04.03-14.29.39,0,0,0,0,0,0
2023.04.03-14.41.20,1801,0,1801,0,0,0
2023.04.03-14.51.20,1801,0,1801,0,0,485
2023.04.03-14.52.25,1801,485,1801,485,485,485
2023.04.03-15.27.36,1801,485,1801,485,1796,485
2023.04.06-15.30.48,1839,485,1839,485,1782,485
2023.04.06-16.41.08,1830,476,1830,476,1830,476
2023.04.06-17.14.02,1830,1696,1830,476,1830,476
2023.05.04-17.23.19,1889,1618,1889,448,1752,448
2023.05.04-17.40.38,1889,1618,1889,448,1886,448
2023.05.04-17.53.16,1889,1751,1889,448,1886,448
2023.05.04-18.19.23,1889,1751,1889,1751,1886,448
